评论id,发布时间,用户id,用户昵称,用户城市,点赞数,回复数,评论内容
4765231979430675,Wed May 04 02:41:40 +0800 2022,2952055027,Mubaxxr,上海,27,1,马师傅早点休息啊！！虽然最近很高产！！
4765232373957043,Wed May 04 02:43:14 +0800 2022,7452072378,吒苏,其他,4,1,还不睡？
4765231743763665,Wed May 04 02:40:44 +0800 2022,7211344379,谢棠棠棠,海外 希腊,3,1,怎么这么晚还不睡
4765234314609167,Wed May 04 02:50:57 +0800 2022,1857620312,BU走心的N,浙江 杭州,6,0,最近好高产！！！！好听的这首 早点休息呀 期待更多好听的歌
4765243605778484,Wed May 04 03:27:51 +0800 2022,3662988201,叫水总就行了,海外,1,1,熬夜党福利
4765262912422316,Wed May 04 04:44:35 +0800 2022,7351518471,Ikeondatrack,新疆,1,1,别emo了马师傅快去洗洗睡
4765359943455427,Wed May 04 11:10:09 +0800 2022,6085671872,烟灰无辜,北京,1,0,一开始以为是德云社的刘越
4765325390513556,Wed May 04 08:52:51 +0800 2022,5897021682,叫封不觉中二么,黑龙江,3,0,评论 然后在自己的评论里艾特博主是什么操作
4765309707485385,Wed May 04 07:50:31 +0800 2022,5540143254,liii017,广西 南宁,2,0,[春遊家族]
4765235011126300,Wed May 04 02:53:43 +0800 2022,6898945672,想一口吃蛋挞,其他,1,0,害妹睡呢？
4765234374377893,Wed May 04 02:51:11 +0800 2022,7215560741,青青草原绿yl,其他,0,2,这么晚还切磋！熬夜会秃头 的 马老师
4765232339615752,Wed May 04 02:43:05 +0800 2022,7288175358,翔耀摘鑫鑫,其他,1,1,哈哈哈哈哈 马师不睡觉 我还在赶作业
4765232155590976,Wed May 04 02:42:22 +0800 2022,3174914240,招牌奶困,河南,1,0,这点还不睡
4765232037101877,Wed May 04 02:41:54 +0800 2022,5152328061,我黄昏了,西藏 拉萨,1,0,不如我
4765231929098740,Wed May 04 02:41:28 +0800 2022,6482934275,拖拉机不要拖拉拖拉,其他,0,1,早点睡 晚安
4765757156102242,Thu May 05 13:28:32 +0800 2022,2698293123,8wrkYsix,福建 福州,1,1,来听@所以谁吃肉包
